month,year,rate
1,2019,0.3894717418810628
1,2020,0.4710927473628197
2,2019,0.381269769543606
2,2020,0.4916336035880628
3,2019,0.4538450763412243
3,2020,0.6463303440554921
4,2019,0.4355077160606215
4,2020,0.8472289676757865
5,2019,0.44197650301829533
5,2020,0.7658999324205942
6,2019,0.4476520479226895
7,2019,0.48723118279569894
8,2019,0.4755951733884118
9,2019,0.4873487660442581
10,2019,0.4078466545060086
11,2019,0.4105833757147996
12,2019,0.401037535098654
